condition_id,exercise_id,recommendation_priority,evidence_strength,stage_of_rehab,severity_range,minimum_pain_score,maximum_pain_score,mobility_requirement,contraindication_flag,contraindication_applies_if,progression_order,clinical_goal,rationale_for_condition,phase,priority,is_core
COND0001,EX0011,1,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",11,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0001,EX0012,1,High,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",12,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0001,EX0013,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",13,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0001,EX0014,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",14,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0001,EX0015,1,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",15,balance,"Selected for Knee Osteoarthritis to address balance deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0001,EX0016,1,Low/Consensus,chronic,mild,0,3,high,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",16,return to sport,"Selected for Knee Osteoarthritis to address return to sport deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0001,EX0017,1,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",17,endurance,"Selected for Knee Osteoarthritis to address endurance deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,1,no
COND0001,EX0018,1,Moderate,chronic,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",18,ROM,"Selected for Knee Osteoarthritis to address ROM deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0001,EX0019,1,Moderate,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",19,function,"Selected for Knee Osteoarthritis to address function deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0001,EX0020,1,High,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",20,strength,"Selected for Knee Osteoarthritis to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0002,EX0021,10,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",1,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",subacute,10,yes
COND0002,EX0022,9,High,chronic,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",2,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,9,yes
COND0002,EX0023,8,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",3,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",maintenance,8,yes
COND0002,EX0024,7,Moderate,acute,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",4,motor control,"Selected for Hip Osteoarthritis to address motor control deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",acute,7,yes
COND0002,EX0025,6,Moderate,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",5,function,"Selected for Hip Osteoarthritis to address function deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",subacute,6,yes
COND0002,EX0026,5,Moderate,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",6,function,"Selected for Hip Osteoarthritis to address function deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,5,yes
COND0002,EX0027,4,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",7,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",maintenance,4,yes
COND0002,EX0028,3,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",8,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,3,yes
COND0002,EX0029,2,Moderate,subacute,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",9,ROM,"Selected for Hip Osteoarthritis to address ROM deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",subacute,2,yes
COND0002,EX0030,1,Moderate,chronic,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",10,ROM,"Selected for Hip Osteoarthritis to address ROM deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,1,yes
COND0002,EX0031,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",11,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0002,EX0032,1,High,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",12,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0002,EX0033,1,High,subacute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",13,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",subacute,1,no
COND0002,EX0034,1,High,chronic,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",14,balance,"Selected for Hip Osteoarthritis to address balance deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0002,EX0035,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",15,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0002,EX0036,1,Moderate,acute,mild-moderate,0,6,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",16,ROM,"Selected for Hip Osteoarthritis to address ROM deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0002,EX0037,1,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",17,endurance,"Selected for Hip Osteoarthritis to address endurance deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",subacute,1,no
COND0002,EX0038,1,Moderate,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",18,function,"Selected for Hip Osteoarthritis to address function deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0002,EX0039,1,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",19,strength,"Selected for Hip Osteoarthritis to address strength deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0002,EX0040,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",20,endurance,"Selected for Hip Osteoarthritis to address endurance deficits in the hip region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0003,EX0041,10,Moderate,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",1,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",subacute,10,yes
COND0003,EX0042,9,High,chronic,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",2,balance,"Selected for Rheumatoid Arthritis to address balance deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,9,yes
COND0003,EX0043,8,High,maintenance,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",3,balance,"Selected for Rheumatoid Arthritis to address balance deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",maintenance,8,yes
COND0003,EX0044,7,Moderate,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",4,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",acute,7,yes
COND0003,EX0045,6,Moderate,subacute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",5,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",subacute,6,yes
COND0003,EX0046,5,Moderate,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",6,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,5,yes
COND0003,EX0047,4,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",7,balance,"Selected for Rheumatoid Arthritis to address balance deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",maintenance,4,yes
COND0003,EX0048,3,Moderate,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",8,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",acute,3,yes
COND0003,EX0049,2,High,subacute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",9,strength,"Selected for Rheumatoid Arthritis to address strength deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",subacute,2,yes
COND0003,EX0050,1,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",10,endurance,"Selected for Rheumatoid Arthritis to address endurance deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,1,yes
COND0003,EX0051,1,Moderate,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",11,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0003,EX0052,1,Moderate,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",12,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0003,EX0053,1,Moderate,subacute,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",13,ROM,"Selected for Rheumatoid Arthritis to address ROM deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",subacute,1,no
COND0003,EX0054,1,Moderate,chronic,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",14,pain self-management,"Selected for Rheumatoid Arthritis to address pain self-management deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0003,EX0055,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",15,balance,"Selected for Rheumatoid Arthritis to address balance deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0003,EX0056,1,Moderate,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",16,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0003,EX0057,1,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",17,strength,"Selected for Rheumatoid Arthritis to address strength deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",subacute,1,no
COND0003,EX0058,1,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",18,strength,"Selected for Rheumatoid Arthritis to address strength deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0003,EX0059,1,Moderate,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",19,function,"Selected for Rheumatoid Arthritis to address function deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0003,EX0060,1,Moderate,acute,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",20,pain self-management,"Selected for Rheumatoid Arthritis to address pain self-management deficits in the multiple joints region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0004,EX0001,10,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",1,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,10,yes
COND0004,EX0002,9,High,chronic,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",2,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,9,yes
COND0004,EX0003,8,Moderate,maintenance,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",3,ROM,"Selected for ACL Injury to address ROM deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,8,yes
COND0004,EX0004,7,High,acute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",4,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,7,yes
COND0004,EX0005,6,High,subacute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",5,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,6,yes
COND0004,EX0006,5,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",6,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,5,yes
COND0004,EX0007,4,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",7,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,4,yes
COND0004,EX0008,3,Moderate,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",8,function,"Selected for ACL Injury to address function deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,3,yes
COND0004,EX0009,2,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",9,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,2,yes
COND0004,EX0010,1,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",10,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,yes
COND0004,EX0011,1,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",11,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0004,EX0012,1,High,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",12,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0004,EX0013,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",13,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0004,EX0014,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",14,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0004,EX0015,1,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",15,balance,"Selected for ACL Injury to address balance deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0004,EX0016,1,Low/Consensus,chronic,mild,0,3,high,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",16,return to sport,"Selected for ACL Injury to address return to sport deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0004,EX0017,1,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",17,endurance,"Selected for ACL Injury to address endurance deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,1,no
COND0004,EX0018,1,Moderate,chronic,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",18,ROM,"Selected for ACL Injury to address ROM deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
COND0004,EX0019,1,Moderate,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",19,function,"Selected for ACL Injury to address function deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0004,EX0020,1,High,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",20,strength,"Selected for ACL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0005,EX0001,10,High,subacute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",1,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,10,yes
COND0005,EX0002,9,High,chronic,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",2,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,9,yes
COND0005,EX0003,8,Moderate,maintenance,mild-moderate-severe-complex,0,8,low,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",3,ROM,"Selected for PCL Injury to address ROM deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,8,yes
COND0005,EX0004,7,High,acute,mild-moderate-severe-complex,0,8,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",4,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,7,yes
COND0005,EX0005,6,High,subacute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",5,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",subacute,6,yes
COND0005,EX0006,5,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",6,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,5,yes
COND0005,EX0007,4,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",7,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,4,yes
COND0005,EX0008,3,Moderate,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",8,function,"Selected for PCL Injury to address function deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,3,yes
COND0005,EX0009,2,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",9,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,2,yes
COND0005,EX0010,1,High,chronic,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",10,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,yes
COND0005,EX0011,1,High,maintenance,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",11,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",maintenance,1,no
COND0005,EX0012,1,High,acute,mild-moderate,0,6,moderate,no,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",12,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",acute,1,no
COND0005,EX0013,1,High,chronic,mild,0,3,moderate,yes,"red flags, unstable vitals, unhealed repair, prohibited weight bearing, severe symptom flare, or unsafe balance are present",13,strength,"Selected for PCL Injury to address strength deficits in the knee region while respecting stage, pain, mobility, and severity constraints.",chronic,1,no
