exercise_id,exercise_name,body_region,target_muscles,joint_actions,movement_type,clinical_indications,contraindications,difficulty,required_equipment,starting_position,execution_instructions,sets,repetitions,duration,rest_period,frequency,progression_criteria,regression_criteria,regression_options,clinical_rationale,benefits,common_compensations,common_mistakes,precautions,safety_warnings,safety_tips,stop_criteria,expected_outcomes,video_url_placeholder,image_placeholder,evidence_level,clinical_references
EX0011,Hamstring Curl,knee,hamstrings,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,band/machine,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform hamstring curl for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress resistance when full range is controlled.,"Regress if hip flexion substitution appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",hip flexion substitution,hip flexion substitution,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0011,images/EX0011.png,High,See docs/references.md
EX0012,Calf Raise,knee,gastrocnemius; soleus,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,step/support,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform calf raise for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress to single-leg when 20 double-leg reps are controlled.,"Regress if bouncing or rolling ankles outward appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",bouncing or rolling ankles outward,bouncing or rolling ankles outward,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0012,images/EX0012.png,High,See docs/references.md
EX0013,Spanish Squat,knee,quadriceps,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",hard,strap/band,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform spanish squat for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,6,,90-150 seconds,3-5 days/week,Progress hold time after anterior knee pain remains stable.,"Regress if trunk collapse or excessive depth appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",trunk collapse or excessive depth,trunk collapse or excessive depth,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0013,images/EX0013.png,High,See docs/references.md
EX0014,Split Squat,knee,quadriceps; gluteals,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",hard,none/dumbbells,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform split squat for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,6,,90-150 seconds,3-5 days/week,Progress load after symmetrical depth and alignment.,"Regress if front knee valgus or trunk lean appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",front knee valgus or trunk lean,front knee valgus or trunk lean,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0014,images/EX0014.png,High,See docs/references.md
EX0015,Single-Leg Balance,knee,ankle stabilizers; hip stabilizers,static and dynamic postural control with graded base of support,balance,"falls risk, proprioceptive deficit, vestibular symptoms, or impaired postural control","unsafe unsupported standing, severe orthostatic symptoms, or uncontrolled seizure risk",moderate,support optional,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform single-leg balance for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,30-60 seconds,60-90 seconds,3-5 days/week,Progress surface or reach distance after 30 seconds steady.,"Regress if gripping toes or collapsing hip appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets balance for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved postural control, gait confidence, and reduced falls risk",gripping toes or collapsing hip,gripping toes or collapsing hip,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Use supervision or support when falls risk is present; clear trip hazards.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved postural control, gait confidence, and reduced falls risk",https://example.org/videos/EX0015,images/EX0015.png,High,See docs/references.md
EX0016,Single-Leg Hop and Stick,knee,quadriceps; gluteals; calf,rapid force absorption and production with landing control,power,late-stage return-to-sport or high-demand occupational readiness,"acute injury, poor landing control, high pain, effusion, or incomplete tissue healing",hard,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform single-leg hop and stick for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,6,,90-150 seconds,3-5 days/week,Progress only after >90% limb symmetry and successful hop-control testing.,"Regress if stiff landing or knee valgus appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets power for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved landing mechanics, rate of force development, and sport/work readiness",stiff landing or knee valgus,stiff landing or knee valgus,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Only use in late-stage rehab with adequate strength, control, and symptom stability.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved landing mechanics, rate of force development, and sport/work readiness",https://example.org/videos/EX0016,images/EX0016.png,Low/Consensus,See docs/references.md
EX0017,Cycling Range Builder,knee,quadriceps; hamstrings,rhythmic whole-body activity at prescribed perceived exertion,aerobic,"reduced walking tolerance, cardiopulmonary deconditioning, fatigue, or metabolic risk","unstable angina, severe desaturation, acute infection with systemic symptoms, or uncontrolled arrhythmia",easy,stationary bike,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform cycling range builder for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,5-20 minutes,30-60 seconds,3-5 days/week,Progress duration before resistance when ROM and swelling tolerate cycling.,"Regress if rocking pelvis to force pedal stroke appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets aerobic for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved endurance, symptom tolerance, and daily activity capacity",rocking pelvis to force pedal stroke,rocking pelvis to force pedal stroke,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Monitor breathlessness, chest symptoms, dizziness, and oxygen saturation when indicated.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved endurance, symptom tolerance, and daily activity capacity",https://example.org/videos/EX0017,images/EX0017.png,High,See docs/references.md
EX0018,Patellar Mobility Self-Care,knee,peri-patellar soft tissues,active or assisted joint movement toward comfortable end range,mobility,"stiffness, guarded movement, postoperative protection phase, or ROM loss","unstable joint, surgical restriction, suspected fracture, or severe escalating pain",easy,none,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform patellar mobility self-care for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress only if glide is comfortable and swelling is not reactive.,"Regress if pressing directly into painful tissue appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets mobility for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved comfortable ROM, reduced stiffness, and better movement confidence",pressing directly into painful tissue,pressing directly into painful tissue,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Stay below aggressive pain; respect surgical precautions and tissue irritability.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved comfortable ROM, reduced stiffness, and better movement confidence",https://example.org/videos/EX0018,images/EX0018.png,Moderate,See docs/references.md
EX0019,Backward Treadmill Walking,knee,quadriceps; gluteals,task-specific multi-joint movement and transfer practice,functional,"difficulty with transfers, gait, ADL, school, sport, or work tasks","unsafe vitals, inability to follow essential safety cues, or prohibited weight bearing",moderate,treadmill,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform backward treadmill walking for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress speed gradually when gait remains smooth.,"Regress if holding rails excessively appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets functional for knee rehabilitation with stage-specific loading and symptom-guided progression.,"better task independence, gait/transfers, and participation",holding rails excessively,holding rails excessively,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.",Use prescribed assistive devices and stop if gait safety deteriorates.,"Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","better task independence, gait/transfers, and participation",https://example.org/videos/EX0019,images/EX0019.png,Moderate,See docs/references.md
EX0020,Lateral Band Walk,knee,gluteus medius; quadriceps,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",moderate,resistance band,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform lateral band walk for the knee with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",3,10,,60-90 seconds,3-5 days/week,Progress band tension when pelvis remains level.,"Regress if trunk sway or dragging the trailing foot appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for knee rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",trunk sway or dragging the trailing foot,trunk sway or dragging the trailing foot,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0020,images/EX0020.png,High,See docs/references.md
EX0021,Glute Bridge,hip,gluteus maximus; hamstrings,controlled concentric/eccentric loading through available range,strength,"weakness, load intolerance, deconditioning, or reduced task capacity","unstable fracture, unhealed repair, acute inflammatory flare, or uncontrolled hypertension",easy,mat,clinically appropriate supported position with the target region visible and symptoms baseline-checked,"Perform glute bridge for the hip with slow setup, controlled execution, symptom monitoring, and return to baseline posture.",2,8,,30-60 seconds,3-5 days/week,Progress to single-leg bridge when pelvis stays level.,"Regress if lumbar extension instead of hip extension appears, pain exceeds the mapped limit, or next-day symptoms flare.","Reduce range, load, duration, repetitions, speed, environmental complexity, or use more external support.",Targets strength for hip rehabilitation with stage-specific loading and symptom-guided progression.,"improved force production, load tolerance, and functional confidence",lumbar extension instead of hip extension,lumbar extension instead of hip extension,"Adapt for pain irritability, surgical precautions, wound status, fatigue, cognition, balance risk, vitals, medications, and patient goals.","Stop for sharp worsening pain, new swelling, wound change, chest pain, or neurological symptoms.","Start below capacity, use appropriate support, monitor symptom response, and stop for red flags or unexpected deterioration.","Chest pain, severe breathlessness, faintness, new neurological deficit, severe dizziness, wound compromise, or rapidly worsening pain.","improved force production, load tolerance, and functional confidence",https://example.org/videos/EX0021,images/EX0021.png,High,See docs/references.md
